#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
chr1	0.2693	248956422	0.0000	7.6335	19003983	855038	854139	0.5246	0	31.39
chr2	0.1101	242193529	0.0000	5.3026	12842506	347990	337246	0.5034	0	3.25
chr3	0.1086	198295559	0.0000	5.0296	9973381	280560	274520	0.5123	0	7.26
chr4	0.0775	190214555	0.0000	3.7752	7180922	193455	186412	0.4881	0	2.16
chr5	0.1155	181538259	0.0000	5.1505	9350080	276806	261176	0.5001	0	6.08
chr6	0.1815	170805979	0.0000	5.9447	10153966	400248	392190	0.5161	0	12.23
chr7	0.1751	159345973	0.0000	7.3984	11789122	344526	384138	0.5288	0	19.87
chr8	0.0979	145138636	0.0000	4.6045	6682976	188954	176283	0.5067	0	6.41
chr9	0.1159	138394717	0.0000	5.0283	6958933	203312	211631	0.5325	0	5.49
chr10	0.1088	133797422	0.0000	5.3448	7151271	189167	185495	0.5073	0	1.48
chr11	0.1458	135086622	0.0000	5.8241	7867602	254857	250218	0.5189	0	3.74
chr12	0.1487	133275309	0.0000	6.1588	8208099	266147	242972	0.5202	0	12.73
chr13	0.0548	114364328	0.0000	2.6793	3064165	77862	86206	0.5077	0	4.38
chr14	0.1390	107043718	0.0000	3.9650	4244314	179005	214833	0.5996	0	35.62
chr15	0.1345	101991189	0.0000	6.0960	6217333	178433	173310	0.5056	0	6.18
chr16	0.2144	90338345	0.0000	8.7959	7946034	250469	245528	0.5445	0	3.63
chr17	0.4006	83257441	0.0000	10.2572	8539913	422746	424733	0.5156	0	63.57
chr18	0.0669	80373285	0.0000	3.2786	2635079	70068	68513	0.4952	0	1.05
chr19	0.3793	58617616	0.0000	12.9007	7562096	279705	289734	0.5844	0	13.50
chr20	0.1384	64444167	0.0000	6.0838	3920684	115564	113858	0.5354	0	2.31
chr21	3.4253	46709983	0.0000	6.5371	3053464	2025482	1975583	0.6458	0	223.83
chr22	0.2112	50818468	0.0000	8.1936	4163859	138474	137341	0.5552	0	3.70
chrX	0.0651	156040895	0.0000	3.2349	5047721	133463	129879	0.5048	0	1.28
chrY	0.0061	57227415	0.0000	0.2924	167350	5093	4565	0.4736	0	0.35
chrM	989.4616	16569	0.0000	99.9698	16564	207543	205120	0.4469	752	1145.32
chr1_KI270706v1_random	1.3465	175055	0.0000	50.8794	89067	2989	2989	0.4719	1	6.61
chr1_KI270707v1_random	0.8167	32032	0.0000	36.5790	11717	319	349	0.4375	0	1.61
chr1_KI270708v1_random	0.0848	127682	0.0000	5.5356	7068	151	135	0.4368	0	0.42
chr1_KI270709v1_random	0.0110	66860	0.0000	0.8256	552	10	9	0.4293	0	0.13
chr1_KI270710v1_random	0.0017	40176	0.0000	0.0846	34	1	1	0.3951	0	0.06
chr1_KI270711v1_random	0.5400	42210	0.0000	31.9000	13465	292	294	0.4610	0	1.02
chr1_KI270712v1_random	0.0690	176043	0.0000	4.6818	8242	160	154	0.4921	0	0.35
chr1_KI270713v1_random	61.5926	40745	0.0000	15.3099	6238	29523	33094	0.5265	0	1097.88
chr1_KI270714v1_random	0.7261	41717	0.0000	8.5888	3583	387	385	0.5417	0	7.91
chr2_KI270715v1_random	0.0005	161471	0.0000	0.0495	80	1	1	0.3908	0	0.02
chr2_KI270716v1_random	0.0000	153799	0.0000	0.0000	0	0	0	0.0000	0	0.00
chr3_GL000221v1_random	1.7454	155397	0.0000	35.1416	54609	3413	3511	0.5279	0	30.69
chr4_GL000008v2_random	0.6983	209709	0.0000	29.6654	62211	1908	1830	0.4566	0	2.91
chr5_GL000208v1_random	0.0159	92689	0.0000	1.0853	1006	22	16	0.4265	0	0.17
chr9_KI270717v1_random	0.0324	40062	0.0000	2.1367	856	26	13	0.5476	0	0.36
chr9_KI270718v1_random	0.6239	38054	0.0000	11.3391	4315	303	317	0.6197	0	8.69
chr9_KI270719v1_random	0.3729	176845	0.0000	12.3374	21818	751	939	0.4177	0	3.12
chr9_KI270720v1_random	0.5119	39050	0.0000	30.2638	11818	237	276	0.4083	0	0.98
chr11_KI270721v1_random	0.3116	100316	0.0000	13.6549	13698	399	394	0.6342	0	1.54
chr14_GL000009v2_random	1.1610	201709	0.0000	40.9412	82582	2932	3031	0.4475	0	2.78
chr14_GL000225v1_random	0.0420	211173	0.0000	2.9478	6225	128	106	0.4775	0	0.33
chr14_KI270722v1_random	0.0542	194050	0.0000	3.2837	6372	144	133	0.4364	0	0.36
chr14_GL000194v1_random	0.7670	191469	0.0000	26.4111	50569	1840	1914	0.4988	0	4.18
chr14_KI270723v1_random	0.0333	38115	0.0000	1.5322	584	18	18	0.4850	0	0.35
chr14_KI270724v1_random	0.0554	39555	0.0000	1.7722	701	26	32	0.4971	0	0.63
chr14_KI270725v1_random	0.0179	172810	0.0000	1.2974	2242	41	40	0.4506	0	0.17
chr14_KI270726v1_random	0.2857	43739	0.0000	9.1086	3984	168	156	0.6303	0	2.50
chr15_KI270727v1_random	0.0152	448248	0.0000	0.9223	4134	98	85	0.4539	0	0.24
chr16_KI270728v1_random	0.0603	1872759	0.0000	2.1442	40156	1486	1440	0.5563	0	2.09
chr17_GL000205v2_random	0.8845	185591	0.0000	21.9343	40708	2033	2168	0.4657	0	3.71
chr17_KI270729v1_random	0.0362	280839	0.0000	1.4838	4167	133	134	0.4251	0	0.58
chr17_KI270730v1_random	0.0192	112551	0.0000	1.0662	1200	23	32	0.4095	0	0.22
chr22_KI270731v1_random	0.0806	150754	0.0000	3.9382	5937	163	164	0.5385	0	0.68
chr22_KI270732v1_random	0.0231	41543	0.0000	1.6296	677	13	12	0.4156	0	0.20
chr22_KI270733v1_random	658.7492	179772	0.0000	32.6781	58746	1485603	1472206	0.6525	0	2959.98
chr22_KI270734v1_random	0.1407	165050	0.0000	5.8382	9636	290	312	0.5864	0	1.45
chr22_KI270735v1_random	0.0141	42811	0.0000	1.1679	500	8	7	0.3837	0	0.14
chr22_KI270736v1_random	0.0100	181920	0.0000	0.6151	1119	18	30	0.4375	0	0.16
chr22_KI270737v1_random	0.0192	103838	0.0000	1.0863	1128	43	10	0.4125	0	0.24
