## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRR7458412.sorted.bam] OUTPUT=SRR7458412.marked_duplicates.bam METRICS_FILE=SRR7458412.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 16 20:18:49 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1708412	7347417	10308229	6140764	575520	852620	0	0.139043	29158342

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.777258
3.0	2.381387
4.0	2.850951
5.0	3.215924
6.0	3.499602
7.0	3.720092
8.0	3.89147
9.0	4.024675
10.0	4.12821
11.0	4.208683
12.0	4.271231
13.0	4.319847
14.0	4.357634
15.0	4.387005
16.0	4.409833
17.0	4.427576
18.0	4.441368
19.0	4.452087
20.0	4.460419
21.0	4.466895
22.0	4.471928
23.0	4.475841
24.0	4.478881
25.0	4.481245
26.0	4.483082
27.0	4.48451
28.0	4.48562
29.0	4.486482
30.0	4.487153
31.0	4.487674
32.0	4.488079
33.0	4.488394
34.0	4.488639
35.0	4.488829
36.0	4.488977
37.0	4.489091
38.0	4.489181
39.0	4.48925
40.0	4.489304
41.0	4.489346
42.0	4.489379
43.0	4.489404
44.0	4.489424
45.0	4.489439
46.0	4.489451
47.0	4.48946
48.0	4.489467
49.0	4.489473
50.0	4.489477
51.0	4.489481
52.0	4.489483
53.0	4.489485
54.0	4.489487
55.0	4.489488
56.0	4.489489
57.0	4.48949
58.0	4.48949
59.0	4.489491
60.0	4.489491
61.0	4.489491
62.0	4.489492
63.0	4.489492
64.0	4.489492
65.0	4.489492
66.0	4.489492
67.0	4.489492
68.0	4.489492
69.0	4.489492
70.0	4.489492
71.0	4.489492
72.0	4.489492
73.0	4.489492
74.0	4.489492
75.0	4.489492
76.0	4.489492
77.0	4.489492
78.0	4.489492
79.0	4.489492
80.0	4.489492
81.0	4.489492
82.0	4.489492
83.0	4.489492
84.0	4.489492
85.0	4.489492
86.0	4.489492
87.0	4.489492
88.0	4.489492
89.0	4.489492
90.0	4.489492
91.0	4.489492
92.0	4.489492
93.0	4.489492
94.0	4.489492
95.0	4.489492
96.0	4.489492
97.0	4.489492
98.0	4.489492
99.0	4.489492
100.0	4.489492

