## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRR7458421.sorted.bam] OUTPUT=SRR7458421.marked_duplicates.bam METRICS_FILE=SRR7458421.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 16 20:16:53 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	2006564	8755041	10390018	7024908	611014	806955	0	0.114001	44528288

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.821505
3.0	2.496375
4.0	3.050784
5.0	3.506234
6.0	3.880388
7.0	4.187757
8.0	4.440263
9.0	4.647697
10.0	4.818105
11.0	4.958097
12.0	5.0731
13.0	5.167576
14.0	5.245189
15.0	5.308948
16.0	5.361326
17.0	5.404355
18.0	5.439703
19.0	5.468742
20.0	5.492598
21.0	5.512196
22.0	5.528295
23.0	5.541521
24.0	5.552386
25.0	5.561312
26.0	5.568644
27.0	5.574668
28.0	5.579616
29.0	5.583682
30.0	5.587021
31.0	5.589765
32.0	5.592019
33.0	5.59387
34.0	5.595391
35.0	5.596641
36.0	5.597667
37.0	5.59851
38.0	5.599203
39.0	5.599772
40.0	5.60024
41.0	5.600624
42.0	5.600939
43.0	5.601198
44.0	5.601411
45.0	5.601586
46.0	5.60173
47.0	5.601848
48.0	5.601945
49.0	5.602025
50.0	5.60209
51.0	5.602144
52.0	5.602188
53.0	5.602224
54.0	5.602254
55.0	5.602279
56.0	5.602299
57.0	5.602315
58.0	5.602329
59.0	5.60234
60.0	5.602349
61.0	5.602357
62.0	5.602363
63.0	5.602368
64.0	5.602372
65.0	5.602376
66.0	5.602378
67.0	5.602381
68.0	5.602383
69.0	5.602384
70.0	5.602385
71.0	5.602386
72.0	5.602387
73.0	5.602388
74.0	5.602389
75.0	5.602389
76.0	5.60239
77.0	5.60239
78.0	5.60239
79.0	5.60239
80.0	5.60239
81.0	5.602391
82.0	5.602391
83.0	5.602391
84.0	5.602391
85.0	5.602391
86.0	5.602391
87.0	5.602391
88.0	5.602391
89.0	5.602391
90.0	5.602391
91.0	5.602391
92.0	5.602391
93.0	5.602391
94.0	5.602391
95.0	5.602391
96.0	5.602391
97.0	5.602391
98.0	5.602391
99.0	5.602391
100.0	5.602391

