## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRZ7458421.sorted.bam] OUTPUT=SRZ7458421.marked_duplicates.bam METRICS_FILE=SRZ7458421.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 18 21:11:35 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	3495360	19892845	22950453	14947074	1337423	2235167	0	0.134187	81759357

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.784029
3.0	2.39873
4.0	2.880673
5.0	3.25853
6.0	3.554781
7.0	3.78705
8.0	3.969156
9.0	4.111932
10.0	4.223872
11.0	4.311637
12.0	4.380447
13.0	4.434396
14.0	4.476694
15.0	4.509856
16.0	4.535856
17.0	4.556241
18.0	4.572224
19.0	4.584755
20.0	4.594579
21.0	4.602282
22.0	4.608321
23.0	4.613055
24.0	4.616768
25.0	4.619678
26.0	4.62196
27.0	4.623749
28.0	4.625152
29.0	4.626252
30.0	4.627114
31.0	4.62779
32.0	4.62832
33.0	4.628735
34.0	4.629061
35.0	4.629317
36.0	4.629517
37.0	4.629674
38.0	4.629797
39.0	4.629894
40.0	4.629969
41.0	4.630029
42.0	4.630075
43.0	4.630112
44.0	4.63014
45.0	4.630163
46.0	4.63018
47.0	4.630194
48.0	4.630205
49.0	4.630213
50.0	4.63022
51.0	4.630225
52.0	4.630229
53.0	4.630232
54.0	4.630235
55.0	4.630237
56.0	4.630238
57.0	4.63024
58.0	4.630241
59.0	4.630241
60.0	4.630242
61.0	4.630242
62.0	4.630243
63.0	4.630243
64.0	4.630243
65.0	4.630243
66.0	4.630243
67.0	4.630244
68.0	4.630244
69.0	4.630244
70.0	4.630244
71.0	4.630244
72.0	4.630244
73.0	4.630244
74.0	4.630244
75.0	4.630244
76.0	4.630244
77.0	4.630244
78.0	4.630244
79.0	4.630244
80.0	4.630244
81.0	4.630244
82.0	4.630244
83.0	4.630244
84.0	4.630244
85.0	4.630244
86.0	4.630244
87.0	4.630244
88.0	4.630244
89.0	4.630244
90.0	4.630244
91.0	4.630244
92.0	4.630244
93.0	4.630244
94.0	4.630244
95.0	4.630244
96.0	4.630244
97.0	4.630244
98.0	4.630244
99.0	4.630244
100.0	4.630244

