## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRR7458422.sorted.bam] OUTPUT=SRR7458422.marked_duplicates.bam METRICS_FILE=SRR7458422.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 16 20:20:17 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1488796	11137804	12560435	7922166	514607	1160230	0	0.119299	49678610

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.799158
3.0	2.43781
4.0	2.948195
5.0	3.356072
6.0	3.68203
7.0	3.942522
8.0	4.150696
9.0	4.31706
10.0	4.450011
11.0	4.55626
12.0	4.64117
13.0	4.709026
14.0	4.763253
15.0	4.80659
16.0	4.841223
17.0	4.8689
18.0	4.891018
19.0	4.908694
20.0	4.92282
21.0	4.934108
22.0	4.94313
23.0	4.95034
24.0	4.956101
25.0	4.960706
26.0	4.964385
27.0	4.967326
28.0	4.969676
29.0	4.971554
30.0	4.973055
31.0	4.974254
32.0	4.975213
33.0	4.975979
34.0	4.976591
35.0	4.97708
36.0	4.977471
37.0	4.977784
38.0	4.978033
39.0	4.978233
40.0	4.978392
41.0	4.97852
42.0	4.978622
43.0	4.978703
44.0	4.978768
45.0	4.97882
46.0	4.978862
47.0	4.978895
48.0	4.978921
49.0	4.978943
50.0	4.97896
51.0	4.978973
52.0	4.978984
53.0	4.978993
54.0	4.978999
55.0	4.979005
56.0	4.979009
57.0	4.979013
58.0	4.979016
59.0	4.979018
60.0	4.97902
61.0	4.979021
62.0	4.979022
63.0	4.979023
64.0	4.979024
65.0	4.979025
66.0	4.979025
67.0	4.979025
68.0	4.979026
69.0	4.979026
70.0	4.979026
71.0	4.979026
72.0	4.979026
73.0	4.979027
74.0	4.979027
75.0	4.979027
76.0	4.979027
77.0	4.979027
78.0	4.979027
79.0	4.979027
80.0	4.979027
81.0	4.979027
82.0	4.979027
83.0	4.979027
84.0	4.979027
85.0	4.979027
86.0	4.979027
87.0	4.979027
88.0	4.979027
89.0	4.979027
90.0	4.979027
91.0	4.979027
92.0	4.979027
93.0	4.979027
94.0	4.979027
95.0	4.979027
96.0	4.979027
97.0	4.979027
98.0	4.979027
99.0	4.979027
100.0	4.979027

