## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRR7458416.sorted.bam] OUTPUT=SRR7458416.marked_duplicates.bam METRICS_FILE=SRR7458416.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 16 19:57:16 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	525447	1872866	3027353	2767323	257120	460470	0	0.275816	3154848

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.552309
3.0	1.857355
4.0	2.025834
5.0	2.118887
6.0	2.170281
7.0	2.198667
8.0	2.214344
9.0	2.223003
10.0	2.227785
11.0	2.230427
12.0	2.231885
13.0	2.232691
14.0	2.233136
15.0	2.233382
16.0	2.233518
17.0	2.233593
18.0	2.233634
19.0	2.233657
20.0	2.23367
21.0	2.233677
22.0	2.23368
23.0	2.233683
24.0	2.233684
25.0	2.233684
26.0	2.233685
27.0	2.233685
28.0	2.233685
29.0	2.233685
30.0	2.233685
31.0	2.233685
32.0	2.233685
33.0	2.233685
34.0	2.233685
35.0	2.233685
36.0	2.233685
37.0	2.233685
38.0	2.233685
39.0	2.233685
40.0	2.233685
41.0	2.233685
42.0	2.233685
43.0	2.233685
44.0	2.233685
45.0	2.233685
46.0	2.233685
47.0	2.233685
48.0	2.233685
49.0	2.233685
50.0	2.233685
51.0	2.233685
52.0	2.233685
53.0	2.233685
54.0	2.233685
55.0	2.233685
56.0	2.233685
57.0	2.233685
58.0	2.233685
59.0	2.233685
60.0	2.233685
61.0	2.233685
62.0	2.233685
63.0	2.233685
64.0	2.233685
65.0	2.233685
66.0	2.233685
67.0	2.233685
68.0	2.233685
69.0	2.233685
70.0	2.233685
71.0	2.233685
72.0	2.233685
73.0	2.233685
74.0	2.233685
75.0	2.233685
76.0	2.233685
77.0	2.233685
78.0	2.233685
79.0	2.233685
80.0	2.233685
81.0	2.233685
82.0	2.233685
83.0	2.233685
84.0	2.233685
85.0	2.233685
86.0	2.233685
87.0	2.233685
88.0	2.233685
89.0	2.233685
90.0	2.233685
91.0	2.233685
92.0	2.233685
93.0	2.233685
94.0	2.233685
95.0	2.233685
96.0	2.233685
97.0	2.233685
98.0	2.233685
99.0	2.233685
100.0	2.233685

