## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRR7458420.sorted.bam] OUTPUT=SRR7458420.marked_duplicates.bam METRICS_FILE=SRR7458420.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 16 19:57:37 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	376323	2698408	1154608	3516577	252887	698572	0	0.285812	4266851

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.531309
3.0	1.813598
4.0	1.96358
5.0	2.043267
6.0	2.085606
7.0	2.1081
8.0	2.120052
9.0	2.126402
10.0	2.129776
11.0	2.131568
12.0	2.132521
13.0	2.133027
14.0	2.133296
15.0	2.133439
16.0	2.133514
17.0	2.133555
18.0	2.133576
19.0	2.133588
20.0	2.133594
21.0	2.133597
22.0	2.133599
23.0	2.133599
24.0	2.1336
25.0	2.1336
26.0	2.1336
27.0	2.1336
28.0	2.1336
29.0	2.1336
30.0	2.1336
31.0	2.1336
32.0	2.1336
33.0	2.1336
34.0	2.1336
35.0	2.1336
36.0	2.1336
37.0	2.1336
38.0	2.1336
39.0	2.1336
40.0	2.1336
41.0	2.1336
42.0	2.1336
43.0	2.1336
44.0	2.1336
45.0	2.1336
46.0	2.1336
47.0	2.1336
48.0	2.1336
49.0	2.1336
50.0	2.1336
51.0	2.1336
52.0	2.1336
53.0	2.1336
54.0	2.1336
55.0	2.1336
56.0	2.1336
57.0	2.1336
58.0	2.1336
59.0	2.1336
60.0	2.1336
61.0	2.1336
62.0	2.1336
63.0	2.1336
64.0	2.1336
65.0	2.1336
66.0	2.1336
67.0	2.1336
68.0	2.1336
69.0	2.1336
70.0	2.1336
71.0	2.1336
72.0	2.1336
73.0	2.1336
74.0	2.1336
75.0	2.1336
76.0	2.1336
77.0	2.1336
78.0	2.1336
79.0	2.1336
80.0	2.1336
81.0	2.1336
82.0	2.1336
83.0	2.1336
84.0	2.1336
85.0	2.1336
86.0	2.1336
87.0	2.1336
88.0	2.1336
89.0	2.1336
90.0	2.1336
91.0	2.1336
92.0	2.1336
93.0	2.1336
94.0	2.1336
95.0	2.1336
96.0	2.1336
97.0	2.1336
98.0	2.1336
99.0	2.1336
100.0	2.1336

