## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRZ7458414.sorted.bam] OUTPUT=SRZ7458414.marked_duplicates.bam METRICS_FILE=SRZ7458414.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 18 20:40:06 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	354572	1349290	3215975	2426992	138341	260964	0	0.216258	3022206

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.63989
3.0	2.04935
4.0	2.311359
5.0	2.479016
6.0	2.586298
7.0	2.654947
8.0	2.698874
9.0	2.726983
10.0	2.74497
11.0	2.756479
12.0	2.763844
13.0	2.768557
14.0	2.771572
15.0	2.773502
16.0	2.774737
17.0	2.775527
18.0	2.776032
19.0	2.776356
20.0	2.776563
21.0	2.776695
22.0	2.77678
23.0	2.776834
24.0	2.776869
25.0	2.776891
26.0	2.776906
27.0	2.776915
28.0	2.77692
29.0	2.776924
30.0	2.776927
31.0	2.776928
32.0	2.776929
33.0	2.77693
34.0	2.77693
35.0	2.77693
36.0	2.776931
37.0	2.776931
38.0	2.776931
39.0	2.776931
40.0	2.776931
41.0	2.776931
42.0	2.776931
43.0	2.776931
44.0	2.776931
45.0	2.776931
46.0	2.776931
47.0	2.776931
48.0	2.776931
49.0	2.776931
50.0	2.776931
51.0	2.776931
52.0	2.776931
53.0	2.776931
54.0	2.776931
55.0	2.776931
56.0	2.776931
57.0	2.776931
58.0	2.776931
59.0	2.776931
60.0	2.776931
61.0	2.776931
62.0	2.776931
63.0	2.776931
64.0	2.776931
65.0	2.776931
66.0	2.776931
67.0	2.776931
68.0	2.776931
69.0	2.776931
70.0	2.776931
71.0	2.776931
72.0	2.776931
73.0	2.776931
74.0	2.776931
75.0	2.776931
76.0	2.776931
77.0	2.776931
78.0	2.776931
79.0	2.776931
80.0	2.776931
81.0	2.776931
82.0	2.776931
83.0	2.776931
84.0	2.776931
85.0	2.776931
86.0	2.776931
87.0	2.776931
88.0	2.776931
89.0	2.776931
90.0	2.776931
91.0	2.776931
92.0	2.776931
93.0	2.776931
94.0	2.776931
95.0	2.776931
96.0	2.776931
97.0	2.776931
98.0	2.776931
99.0	2.776931
100.0	2.776931

