## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRR7458411.sorted.bam] OUTPUT=SRR7458411.marked_duplicates.bam METRICS_FILE=SRR7458411.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 16 19:51:32 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	516	3924	1482	68826	50	124	0	0.035629	60772

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.93747
3.0	2.816322
4.0	3.640221
5.0	4.412602
6.0	5.136687
7.0	5.815496
8.0	6.451859
9.0	7.048432
10.0	7.607702
11.0	8.132001
12.0	8.623517
13.0	9.084299
14.0	9.516268
15.0	9.921227
16.0	10.300865
17.0	10.656764
18.0	10.990409
19.0	11.303192
20.0	11.596417
21.0	11.871307
22.0	12.129008
23.0	12.370596
24.0	12.597077
25.0	12.809397
26.0	13.008441
27.0	13.195038
28.0	13.369969
29.0	13.53396
30.0	13.687698
31.0	13.831823
32.0	13.966935
33.0	14.0936
34.0	14.212344
35.0	14.323663
36.0	14.428022
37.0	14.525855
38.0	14.617571
39.0	14.703551
40.0	14.784156
41.0	14.85972
42.0	14.93056
43.0	14.99697
44.0	15.059228
45.0	15.117592
46.0	15.172307
47.0	15.223601
48.0	15.271688
49.0	15.316767
50.0	15.359028
51.0	15.398647
52.0	15.435788
53.0	15.470607
54.0	15.503248
55.0	15.533849
56.0	15.562536
57.0	15.589429
58.0	15.614641
59.0	15.638276
60.0	15.660434
61.0	15.681206
62.0	15.700679
63.0	15.718934
64.0	15.736048
65.0	15.752092
66.0	15.767133
67.0	15.781233
68.0	15.794451
69.0	15.806843
70.0	15.81846
71.0	15.829351
72.0	15.839561
73.0	15.849132
74.0	15.858105
75.0	15.866517
76.0	15.874403
77.0	15.881795
78.0	15.888726
79.0	15.895223
80.0	15.901314
81.0	15.907024
82.0	15.912377
83.0	15.917395
84.0	15.922099
85.0	15.92651
86.0	15.930644
87.0	15.93452
88.0	15.938154
89.0	15.94156
90.0	15.944754
91.0	15.947747
92.0	15.950554
93.0	15.953185
94.0	15.955652
95.0	15.957964
96.0	15.960132
97.0	15.962164
98.0	15.964069
99.0	15.965855
100.0	15.967529

