## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRZ7458410.sorted.bam] OUTPUT=SRZ7458410.marked_duplicates.bam METRICS_FILE=SRZ7458410.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 18 20:40:57 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	299327	1081638	1891271	1409241	114940	190049	0	0.201022	2705770

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.670486
3.0	2.120037
4.0	2.421456
5.0	2.623552
6.0	2.759055
7.0	2.849908
8.0	2.910823
9.0	2.951666
10.0	2.979051
11.0	2.997412
12.0	3.009723
13.0	3.017977
14.0	3.023512
15.0	3.027222
16.0	3.02971
17.0	3.031378
18.0	3.032497
19.0	3.033247
20.0	3.03375
21.0	3.034087
22.0	3.034313
23.0	3.034464
24.0	3.034566
25.0	3.034634
26.0	3.03468
27.0	3.03471
28.0	3.034731
29.0	3.034745
30.0	3.034754
31.0	3.03476
32.0	3.034764
33.0	3.034767
34.0	3.034769
35.0	3.03477
36.0	3.034771
37.0	3.034772
38.0	3.034772
39.0	3.034772
40.0	3.034772
41.0	3.034773
42.0	3.034773
43.0	3.034773
44.0	3.034773
45.0	3.034773
46.0	3.034773
47.0	3.034773
48.0	3.034773
49.0	3.034773
50.0	3.034773
51.0	3.034773
52.0	3.034773
53.0	3.034773
54.0	3.034773
55.0	3.034773
56.0	3.034773
57.0	3.034773
58.0	3.034773
59.0	3.034773
60.0	3.034773
61.0	3.034773
62.0	3.034773
63.0	3.034773
64.0	3.034773
65.0	3.034773
66.0	3.034773
67.0	3.034773
68.0	3.034773
69.0	3.034773
70.0	3.034773
71.0	3.034773
72.0	3.034773
73.0	3.034773
74.0	3.034773
75.0	3.034773
76.0	3.034773
77.0	3.034773
78.0	3.034773
79.0	3.034773
80.0	3.034773
81.0	3.034773
82.0	3.034773
83.0	3.034773
84.0	3.034773
85.0	3.034773
86.0	3.034773
87.0	3.034773
88.0	3.034773
89.0	3.034773
90.0	3.034773
91.0	3.034773
92.0	3.034773
93.0	3.034773
94.0	3.034773
95.0	3.034773
96.0	3.034773
97.0	3.034773
98.0	3.034773
99.0	3.034773
100.0	3.034773

