## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRR7458413.sorted.bam] OUTPUT=SRR7458413.marked_duplicates.bam METRICS_FILE=SRR7458413.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 16 19:51:42 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	627	3647	3583	27615	77	165	0	0.051382	39079

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.999999
2.0	1.910897
3.0	2.740632
4.0	3.496437
5.0	4.184898
6.0	4.812016
7.0	5.383258
8.0	5.903601
9.0	6.37758
10.0	6.809327
11.0	7.202605
12.0	7.560841
13.0	7.887158
14.0	8.1844
15.0	8.455157
16.0	8.701789
17.0	8.926446
18.0	9.131085
19.0	9.317491
20.0	9.487288
21.0	9.641956
22.0	9.782842
23.0	9.911175
24.0	10.028074
25.0	10.134557
26.0	10.231552
27.0	10.319905
28.0	10.400385
29.0	10.473694
30.0	10.540472
31.0	10.601299
32.0	10.656707
33.0	10.707177
34.0	10.753151
35.0	10.795029
36.0	10.833175
37.0	10.867922
38.0	10.899573
39.0	10.928404
40.0	10.954666
41.0	10.978588
42.0	11.000379
43.0	11.020228
44.0	11.038308
45.0	11.054778
46.0	11.06978
47.0	11.083445
48.0	11.095893
49.0	11.107231
50.0	11.11756
51.0	11.126968
52.0	11.135537
53.0	11.143344
54.0	11.150454
55.0	11.156931
56.0	11.162831
57.0	11.168206
58.0	11.173101
59.0	11.17756
60.0	11.181622
61.0	11.185322
62.0	11.188692
63.0	11.191762
64.0	11.194559
65.0	11.197106
66.0	11.199427
67.0	11.20154
68.0	11.203465
69.0	11.205219
70.0	11.206817
71.0	11.208272
72.0	11.209597
73.0	11.210805
74.0	11.211904
75.0	11.212906
76.0	11.213819
77.0	11.21465
78.0	11.215407
79.0	11.216097
80.0	11.216725
81.0	11.217297
82.0	11.217819
83.0	11.218293
84.0	11.218726
85.0	11.21912
86.0	11.219479
87.0	11.219806
88.0	11.220103
89.0	11.220375
90.0	11.220622
91.0	11.220847
92.0	11.221052
93.0	11.221239
94.0	11.221409
95.0	11.221564
96.0	11.221705
97.0	11.221833
98.0	11.22195
99.0	11.222057
100.0	11.222154

